Tue Jul 17 2018 16:40:24 GMT+0800 (+08) | Faraway Drifted Kingdom | deemosfarmingplace: Tiger#5216: 6345643563456
Tue Jul 17 2018 16:40:25 GMT+0800 (+08) | Faraway Drifted Kingdom | deemosfarmingplace: Tiger#5216: 543465
Tue Jul 17 2018 16:40:31 GMT+0800 (+08) | Faraway Drifted Kingdom | deemosfarmingplace: Tiger#5216: t.reload
Tue Jul 17 2018 16:44:36 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: damn
Tue Jul 17 2018 16:44:48 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: t.reload
Tue Jul 17 2018 16:44:56 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: test
Tue Jul 17 2018 16:44:57 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: t.help admin
Tue Jul 17 2018 16:45:03 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: <@185713706343071745> can do one of these commands
Tue Jul 17 2018 16:45:04 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: t.servers
Tue Jul 17 2018 16:45:09 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: help test
Tue Jul 17 2018 16:45:16 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: t.reload
Tue Jul 17 2018 16:45:19 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: o ok
Tue Jul 17 2018 16:45:20 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: it works
Tue Jul 17 2018 16:45:20 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: good
Tue Jul 17 2018 16:45:21 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: t.help admin
Tue Jul 17 2018 16:45:27 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: t.help admin
Tue Jul 17 2018 16:45:28 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: gg
Tue Jul 17 2018 16:45:35 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: admin help not meant
Tue Jul 17 2018 16:45:35 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: t.uptime
Tue Jul 17 2018 16:45:36 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: to show
Tue Jul 17 2018 16:45:38 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: <:yeahdude:426324398434156545>
Tue Jul 17 2018 16:45:40 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: oh
Tue Jul 17 2018 16:45:46 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: ppl not supposed know
Tue Jul 17 2018 16:45:48 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: theres admin help
Tue Jul 17 2018 16:46:07 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: <:monkaS:379252340466909194>
Tue Jul 17 2018 16:46:19 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: try my refresh
Tue Jul 17 2018 16:46:23 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: c!refr
Tue Jul 17 2018 16:46:24 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: $refresh
Tue Jul 17 2018 16:46:26 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: c!refr
Tue Jul 17 2018 16:46:28 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: ?
Tue Jul 17 2018 16:46:30 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: refresh
Tue Jul 17 2018 16:46:34 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: c!refresh
Tue Jul 17 2018 16:46:36 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: ?
Tue Jul 17 2018 16:46:41 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: ez no trply
Tue Jul 17 2018 16:46:43 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: reply
Tue Jul 17 2018 16:46:45 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: gg
Tue Jul 17 2018 16:46:46 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: no one knows
Tue Jul 17 2018 16:46:49 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: c!info
Tue Jul 17 2018 16:46:53 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: how changw timezone
Tue Jul 17 2018 16:47:17 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: "main": "env TZ='Asia/Singapore' node server.js",
